bam_accession	fragment_length	bam_accession_control	fragment_length_control	target	biosample	experiment_accession
ENCFF257QQX	125	ENCFF156FED	110	SMAD2-human	K562	ENCSR189PYJ
ENCFF101LKK	100	ENCFF438FFV	100	TCF12-human	GM12878	ENCSR000BGZ
ENCFF291PCM	85	ENCFF438FFV	100	TCF12-human	GM12878	ENCSR000BGZ
ENCFF302HOU	110	ENCFF389HKQ	80	CTCF-human	bipolarneuronoriginatedfromGM23338treatedwith05mcgmLdoxycyclinehyclatefor4days	ENCSR619IUE
ENCFF761LNM	90	ENCFF389HKQ	80	CTCF-human	bipolarneuronoriginatedfromGM23338treatedwith05mcgmLdoxycyclinehyclatefor4days	ENCSR619IUE
ENCFF614KRR	110	ENCFF747NOF	65	CREM-human	GM12878	ENCSR839XZU
ENCFF162MTY	110	ENCFF747NOF	65	CREM-human	GM12878	ENCSR839XZU
ENCFF101XWQ	125	ENCFF165KZY	115	NRF1-human	HepG2	ENCSR000EEH
ENCFF787RXW	130	ENCFF165KZY	115	NRF1-human	HepG2	ENCSR000EEH
ENCFF408TSG	110	ENCFF162ZOO	70	KLF16-human	K562	ENCSR760UVO
ENCFF749LRJ	120	ENCFF162ZOO	70	KLF16-human	K562	ENCSR760UVO
ENCFF844PQH	90	ENCFF473WBH	200	CHD7-human	H1	ENCSR000AVA
ENCFF906SNA	170	ENCFF473WBH	200	CHD7-human	H1	ENCSR000AVA
ENCFF091GEA	135	ENCFF421EKC	105	REST-human	PFSK1	ENCSR000BOX
ENCFF565LZS	130	ENCFF421EKC	105	REST-human	PFSK1	ENCSR000BOX
ENCFF175PHI	195	ENCFF559ZZZ	145	ZNF274-human	H1	ENCSR000EUN
ENCFF101DVO	145	ENCFF559ZZZ	145	ZNF274-human	H1	ENCSR000EUN
ENCFF396BCM	125	ENCFF754WTG	80	ATF2-human	GM12878	ENCSR000BQK
ENCFF994ZHD	145	ENCFF754WTG	80	ATF2-human	GM12878	ENCSR000BQK
ENCFF774ZQG	115	ENCFF656HEF	110	ZBTB33-human	A549treatedwith002ethanolfor1hour	ENCSR000BPZ
ENCFF637ZXE	90	ENCFF656HEF	110	ZBTB33-human	A549treatedwith002ethanolfor1hour	ENCSR000BPZ
ENCFF601UUP	120	ENCFF406XEH	80	ATF3-human	liverfemalechild4years	ENCSR205FOW
ENCFF521EJT	145	ENCFF406XEH	80	ATF3-human	liverfemalechild4years	ENCSR205FOW
ENCFF814NIM	130	ENCFF513EWK	90	TBP-human	H1	ENCSR000ECB
ENCFF111DMT	155	ENCFF513EWK	90	TBP-human	H1	ENCSR000ECB
ENCFF428QRM	95	ENCFF016HFH	115	NR3C1-human	Ishikawatreatedwith002ethanolfor1hour	ENCSR000BLB
ENCFF942JER	110	ENCFF016HFH	115	NR3C1-human	Ishikawatreatedwith002ethanolfor1hour	ENCSR000BLB
ENCFF876GQO	115	ENCFF332CUX	90	STAT2-human	K562treatedwithinterferonalphafor6hours	ENCSR000FBC
ENCFF951ITB	125	ENCFF332CUX	90	STAT2-human	K562treatedwithinterferonalphafor6hours	ENCSR000FBC
ENCFF705LQZ	130	ENCFF874GUL	95	XRCC5-human	HepG2	ENCSR031URL
ENCFF117KAP	140	ENCFF874GUL	95	XRCC5-human	HepG2	ENCSR031URL
ENCFF682EAI	215	ENCFF462UDU	120	CTCF-human	prostateglandmaleadult54years	ENCSR230ORT
ENCFF638JAN	235	ENCFF462UDU	120	CTCF-human	prostateglandmaleadult54years	ENCSR230ORT
ENCFF444CNM	155	ENCFF285LVE	110	HNF4G-human	HepG2	ENCSR000BNJ
ENCFF960YUK	110	ENCFF285LVE	110	HNF4G-human	HepG2	ENCSR000BNJ
ENCFF780DBH	80	ENCFF332SVJ	80	ATF1-human	K562geneticallymodifiedusingCRISPR	ENCSR159OCC
ENCFF515YFJ	80	ENCFF332SVJ	80	ATF1-human	K562geneticallymodifiedusingCRISPR	ENCSR159OCC
ENCFF707RRY	140	ENCFF438FFV	100	SIX5-human	GM12878	ENCSR000BJE
ENCFF971KJA	110	ENCFF438FFV	100	SIX5-human	GM12878	ENCSR000BJE
ENCFF880ZXO	135	ENCFF240RBJ	255	GATA2-human	K562geneticallymodifiedusingstabletransfection	ENCSR000DKA
ENCFF082TOF	265	ENCFF240RBJ	255	GATA2-human	K562geneticallymodifiedusingstabletransfection	ENCSR000DKA
ENCFF705LAV	110	ENCFF513EWK	90	MYC-human	H1	ENCSR000EBY
ENCFF503VEU	110	ENCFF513EWK	90	MYC-human	H1	ENCSR000EBY
ENCFF925VPT	105	ENCFF497TEA	115	CTCF-human	WERIRb1	ENCSR000DXW
ENCFF633OXE	95	ENCFF497TEA	115	CTCF-human	WERIRb1	ENCSR000DXW
ENCFF151NEG	205	ENCFF591VCF	235	CTCF-human	Peyerspatchmaleadult54years	ENCSR568IVD
ENCFF546TVD	110	ENCFF077ITP	130	EP300-human	SKNSHtreatedwith6mcMalltransretinoicacidfor48hours	ENCSR000BMA
ENCFF683OAK	115	ENCFF077ITP	130	EP300-human	SKNSHtreatedwith6mcMalltransretinoicacidfor48hours	ENCSR000BMA
ENCFF290GQR	115	ENCFF229FMX	70	NFIA-human	HepG2geneticallymodifiedusingCRISPR	ENCSR226QQM
ENCFF109RLL	125	ENCFF229FMX	70	NFIA-human	HepG2geneticallymodifiedusingCRISPR	ENCSR226QQM
ENCFF993RDX	135	ENCFF186FRO	60	CTCF-human	GM06990	ENCSR000DQW
ENCFF545IDM	130	ENCFF186FRO	60	CTCF-human	GM06990	ENCSR000DQW
ENCFF847XNM	115	ENCFF200YPH	85	FOXA2-human	livermaleadult32years	ENCSR310NYI
ENCFF855ZLU	135	ENCFF200YPH	85	FOXA2-human	livermaleadult32years	ENCSR310NYI
ENCFF362KLU	110	ENCFF023NGN	115	EP300-human	K562	ENCSR000EGY
ENCFF931HUP	275	ENCFF537BWA	110	CTCF-human	OCILY7	ENCSR027HML
ENCFF120JNQ	220	ENCFF537BWA	110	CTCF-human	OCILY7	ENCSR027HML
ENCFF602PSD	205	ENCFF046MQK	100	CTCF-human	gastroesophagealsphincterfemaleadult51years	ENCSR298ZPF
ENCFF669AFC	215	ENCFF078AVO	305	CTCF-human	spleenfemaleadult51years	ENCSR595BPR
ENCFF264RSU	230	ENCFF078AVO	305	CTCF-human	spleenfemaleadult51years	ENCSR595BPR
ENCFF799RPS	120	ENCFF156FED	110	CEBPZ-human	K562	ENCSR618GDK
ENCFF576EDK	110	ENCFF156FED	110	CEBPZ-human	K562	ENCSR618GDK
ENCFF676ZPL	130	ENCFF559ZZZ	145	MAX-human	H1	ENCSR000EUP
ENCFF853IGP	130	ENCFF559ZZZ	145	MAX-human	H1	ENCSR000EUP
ENCFF527JSO	90	ENCFF428QRM	95	NR3C1-human	Ishikawatreatedwith100nMdexamethasonefor1hour	ENCSR000BJC
ENCFF755GJA	100	ENCFF428QRM	95	NR3C1-human	Ishikawatreatedwith100nMdexamethasonefor1hour	ENCSR000BJC
ENCFF655BNX	105	ENCFF801BOV	70	CTCF-human	GM12865	ENCSR000DRE
ENCFF383IOB	100	ENCFF801BOV	70	CTCF-human	GM12865	ENCSR000DRE
ENCFF883LXG	240	ENCFF644ZVV	245	CTCF-human	bodyofpancreasmaleadult37years	ENCSR572DUJ
ENCFF643UCP	120	ENCFF332CUX	90	JUN-human	K562treatedwithinterferonalphafor6hours	ENCSR000EZX
ENCFF479JUJ	120	ENCFF332CUX	90	JUN-human	K562treatedwithinterferonalphafor6hours	ENCSR000EZX
ENCFF071KOM	110	ENCFF156FED	110	ZKSCAN1-human	K562	ENCSR882ERE
ENCFF236ZUN	105	ENCFF156FED	110	ZKSCAN1-human	K562	ENCSR882ERE
ENCFF616NWB	155	ENCFF639TYV	180	CTCF-human	astrocyte	ENCSR000AOO
ENCFF414QUV	165	ENCFF639TYV	180	CTCF-human	astrocyte	ENCSR000AOO
ENCFF511OFO	200	ENCFF550VRT	150	CTCF-human	MM1S	ENCSR402IDP
ENCFF377EHJ	205	ENCFF550VRT	150	CTCF-human	MM1S	ENCSR402IDP
ENCFF723QZO	110	ENCFF156FED	110	ZHX1-human	K562	ENCSR557RVF
ENCFF019PLG	95	ENCFF156FED	110	ZHX1-human	K562	ENCSR557RVF
ENCFF408WDT	90	ENCFF767FSP	90	IRF1-human	K562treatedwithinterferonalphafor30minutes	ENCSR000EGU
ENCFF424IRC	105	ENCFF767FSP	90	IRF1-human	K562treatedwithinterferonalphafor30minutes	ENCSR000EGU
ENCFF415SIE	150	ENCFF656HEF	110	SP1-human	A549treatedwith002ethanolfor1hour	ENCSR000BPE
ENCFF916AFL	140	ENCFF656HEF	110	SP1-human	A549treatedwith002ethanolfor1hour	ENCSR000BPE
ENCFF209RNM	95	ENCFF582CVJ	95	HHEX-human	HepG2geneticallymodifiedusingCRISPR	ENCSR656JZL
ENCFF233III	115	ENCFF582CVJ	95	HHEX-human	HepG2geneticallymodifiedusingCRISPR	ENCSR656JZL
ENCFF971QGY	100	ENCFF436GDS	100	CTCF-human	fibroblastoftheaorticadventitiafemale	ENCSR000DPY
ENCFF887VLI	85	ENCFF436GDS	100	CTCF-human	fibroblastoftheaorticadventitiafemale	ENCSR000DPY
ENCFF499BWX	95	ENCFF285LVE	110	CEBPB-human	HepG2	ENCSR000BQI
ENCFF090KCF	125	ENCFF285LVE	110	CEBPB-human	HepG2	ENCSR000BQI
ENCFF023WDO	180	ENCFF893ZJC	1150	CTCF-human	ascendingaortafemaleadult51years	ENCSR846JKO
ENCFF501SZR	105	ENCFF229FMX	70	TEAD3-human	HepG2geneticallymodifiedusingCRISPR	ENCSR666QNP
ENCFF572QQB	105	ENCFF229FMX	70	TEAD3-human	HepG2geneticallymodifiedusingCRISPR	ENCSR666QNP
ENCFF561ILM	140	ENCFF772PJM	120	FOSL1-human	K562	ENCSR000BMV
ENCFF492NUF	115	ENCFF772PJM	120	FOSL1-human	K562	ENCSR000BMV
ENCFF894JTR	95	ENCFF229FMX	70	ZSCAN9-human	HepG2geneticallymodifiedusingCRISPR	ENCSR712FAM
ENCFF088RTW	100	ENCFF229FMX	70	ZSCAN9-human	HepG2geneticallymodifiedusingCRISPR	ENCSR712FAM
ENCFF988HVR	100	ENCFF754WTG	80	GABPA-human	GM12878	ENCSR331HPA
ENCFF178WGW	145	ENCFF754WTG	80	GABPA-human	GM12878	ENCSR331HPA
ENCFF521KDX	90	ENCFF943DZB	85	JUND-human	HepG2	ENCSR000BGK
ENCFF318WWT	105	ENCFF943DZB	85	JUND-human	HepG2	ENCSR000BGK
ENCFF549LBG	120	ENCFF949XNJ	130	ESRRA-human	A549	ENCSR473SUA
ENCFF542CFD	115	ENCFF949XNJ	130	ESRRA-human	A549	ENCSR473SUA
ENCFF692VVV	105	ENCFF073RIN	55	CTCF-human	AG09319	ENCSR000DPS
ENCFF278LWC	105	ENCFF073RIN	55	CTCF-human	AG09319	ENCSR000DPS
ENCFF045EGT	210	ENCFF517QKI	490	CTCF-human	thyroidglandfemaleadult53years	ENCSR331OGX
ENCFF624OOR	215	ENCFF590RZJ	240	CTCF-human	bodyofpancreasmaleadult54years	ENCSR687APM
ENCFF811NLF	135	ENCFF820TDD	120	ESR1-human	Ishikawatreatedwith10nMestradiolfor1hour	ENCSR000BIY
ENCFF880RHB	125	ENCFF820TDD	120	ESR1-human	Ishikawatreatedwith10nMestradiolfor1hour	ENCSR000BIY
ENCFF726LJT	85	ENCFF575DMX	125	FOXP2-human	PFSK1	ENCSR000BGA
ENCFF192KRY	90	ENCFF575DMX	125	FOXP2-human	PFSK1	ENCSR000BGA
ENCFF222UZK	125	ENCFF304AZH	95	STAT5A-human	K562	ENCSR000BRR
ENCFF526DBU	115	ENCFF304AZH	95	STAT5A-human	K562	ENCSR000BRR
ENCFF503TSJ	110	ENCFF121EED	115	CREB1-human	A549treatedwith100nMdexamethasonefor1hour	ENCSR000BRB
ENCFF153QKB	120	ENCFF121EED	115	CREB1-human	A549treatedwith100nMdexamethasonefor1hour	ENCSR000BRB
ENCFF960VKL	140	ENCFF370PSF	100	EGR1-human	liverfemalechild4years	ENCSR290ZOS
ENCFF439AQO	115	ENCFF370PSF	100	EGR1-human	liverfemalechild4years	ENCSR290ZOS
ENCFF808EIJ	135	ENCFF449CRS	390	IRF3-human	SKNSH	ENCSR422ZAO
ENCFF040MDB	125	ENCFF449CRS	390	IRF3-human	SKNSH	ENCSR422ZAO
ENCFF195HUS	85	ENCFF249PQD	80	REST-human	HepG2	ENCSR000BJL
ENCFF291BBG	80	ENCFF249PQD	80	REST-human	HepG2	ENCSR000BJL
ENCFF445RPP	85	ENCFF582CVJ	95	MBD1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR260UJI
ENCFF655ZAY	90	ENCFF582CVJ	95	MBD1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR260UJI
ENCFF638HCT	85	ENCFF113QYJ	80	ZHX2-human	HepG2	ENCSR407BEZ
ENCFF883YOY	90	ENCFF113QYJ	80	ZHX2-human	HepG2	ENCSR407BEZ
ENCFF257JTU	180	ENCFF999KIK	75	ATF1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR253OON
ENCFF214NPN	140	ENCFF999KIK	75	ATF1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR253OON
ENCFF266UHU	150	ENCFF923ZIK	130	CTCF-human	lungmaleadult27yearsandmaleadult35years	ENCSR000DMH
ENCFF111YZR	150	ENCFF923ZIK	130	CTCF-human	lungmaleadult27yearsandmaleadult35years	ENCSR000DMH
ENCFF361TNY	145	ENCFF342YSK	140	CTCF-human	foreskinfibroblastmalenewborn	ENCSR000DUH
ENCFF736DHC	160	ENCFF229FMX	70	ZNF511-human	HepG2geneticallymodifiedusingCRISPR	ENCSR372JXR
ENCFF927VOZ	100	ENCFF229FMX	70	ZNF511-human	HepG2geneticallymodifiedusingCRISPR	ENCSR372JXR
ENCFF803YAB	100	ENCFF579QDW	130	RCOR1-human	GM12878	ENCSR000DZC
ENCFF065YOX	120	ENCFF579QDW	130	RCOR1-human	GM12878	ENCSR000DZC
ENCFF230AXK	115	ENCFF023NGN	115	RFX5-human	K562	ENCSR000EGO
ENCFF524SJJ	110	ENCFF023NGN	115	RFX5-human	K562	ENCSR000EGO
ENCFF648CAE	130	ENCFF040CVQ	60	CTCF-human	HCT116	ENCSR000DTO
ENCFF091ODJ	130	ENCFF040CVQ	60	CTCF-human	HCT116	ENCSR000DTO
ENCFF971SCT	140	ENCFF517WZK	105	CTCF-human	BJ	ENCSR000DQI
ENCFF152LFC	135	ENCFF517WZK	105	CTCF-human	BJ	ENCSR000DQI
ENCFF827ZZD	135	ENCFF353UFN	100	CTCF-human	A549treatedwith002ethanolfor1hour	ENCSR000BHW
ENCFF434JDR	110	ENCFF353UFN	100	CTCF-human	A549treatedwith002ethanolfor1hour	ENCSR000BHW
ENCFF687QLR	175	ENCFF115YFR	170	ZNF197-human	K562geneticallymodifiedusingCRISPR	ENCSR580IAO
ENCFF191EJM	160	ENCFF115YFR	170	ZNF197-human	K562geneticallymodifiedusingCRISPR	ENCSR580IAO
ENCFF154YWN	125	ENCFF144BVJ	120	RFX5-human	SKNSH	ENCSR000EHY
ENCFF634AOY	135	ENCFF144BVJ	120	RFX5-human	SKNSH	ENCSR000EHY
ENCFF396STC	155	ENCFF757OWU	90	CTCF-human	cardiacmusclecell	ENCSR000DTI
ENCFF535MRQ	165	ENCFF757OWU	90	CTCF-human	cardiacmusclecell	ENCSR000DTI
ENCFF227TEG	155	ENCFF321YGO	70	ZNF766-human	K562geneticallymodifiedusingCRISPR	ENCSR194IJN
ENCFF398UYF	165	ENCFF321YGO	70	ZNF766-human	K562geneticallymodifiedusingCRISPR	ENCSR194IJN
ENCFF864EDI	135	ENCFF337WHA	80	HNF4A-human	livermaleadult32years	ENCSR601OGE
ENCFF479OYS	150	ENCFF337WHA	80	HNF4A-human	livermaleadult32years	ENCSR601OGE
ENCFF157TFW	175	ENCFF299AOC	505	CTCF-human	ascendingaortafemaleadult53years	ENCSR555DCD
ENCFF031RTC	220	ENCFF145GMT	445	CTCF-human	adrenalglandfemaleadult51years	ENCSR408ZEE
ENCFF431WUY	120	ENCFF494UKO	115	CTCF-human	IMR90	ENCSR000EFI
ENCFF010FWV	130	ENCFF494UKO	115	CTCF-human	IMR90	ENCSR000EFI
ENCFF073LHY	130	ENCFF212COR	80	JUND-human	HCT116	ENCSR000BSA
ENCFF726DLQ	130	ENCFF212COR	80	JUND-human	HCT116	ENCSR000BSA
ENCFF337NPB	90	ENCFF270FBL	60	REST-human	Panc1	ENCSR000BJO
ENCFF460RPS	75	ENCFF270FBL	60	REST-human	Panc1	ENCSR000BJO
ENCFF600TNR	120	ENCFF577FNG	130	TCF7L2-human	K562	ENCSR888XZK
ENCFF425MJK	125	ENCFF577FNG	130	TCF7L2-human	K562	ENCSR888XZK
ENCFF490SKM	120	ENCFF337WHA	80	NR2F2-human	livermaleadult32years	ENCSR338MMB
ENCFF233KNQ	150	ENCFF337WHA	80	NR2F2-human	livermaleadult32years	ENCSR338MMB
ENCFF039IQB	135	ENCFF928IDQ	85	FOS-human	IMR90	ENCSR124AIG
ENCFF026TRP	130	ENCFF928IDQ	85	FOS-human	IMR90	ENCSR124AIG
ENCFF946SJM	120	ENCFF325BGM	125	FOXA1-human	A549treatedwith100nMdexamethasonefor1hour	ENCSR000BPX
ENCFF086NWX	130	ENCFF325BGM	125	FOXA1-human	A549treatedwith100nMdexamethasonefor1hour	ENCSR000BPX
ENCFF067ZUU	100	ENCFF229FMX	70	TFDP1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR558OMR
ENCFF661DJE	235	ENCFF229FMX	70	TFDP1-human	HepG2geneticallymodifiedusingCRISPR	ENCSR558OMR
ENCFF461GBT	110	ENCFF928IDQ	85	NFE2L2-human	IMR90	ENCSR197WGI
ENCFF467POD	130	ENCFF928IDQ	85	NFE2L2-human	IMR90	ENCSR197WGI
ENCFF470XCI	135	ENCFF878LDQ	145	TCF7L2-human	HCT116	ENCSR000EUV
ENCFF690REU	150	ENCFF878LDQ	145	TCF7L2-human	HCT116	ENCSR000EUV
ENCFF686TXK	110	ENCFF714ZPY	125	NFE2L2-human	HeLaS3	ENCSR707IUN
ENCFF068LXE	110	ENCFF714ZPY	125	NFE2L2-human	HeLaS3	ENCSR707IUN
ENCFF016NAV	110	ENCFF513EWK	90	ZNF143-human	H1	ENCSR000EBW
ENCFF732IVC	110	ENCFF513EWK	90	ZNF143-human	H1	ENCSR000EBW
ENCFF736MXP	200	ENCFF157YWH	80	IKZF1-human	GM12878	ENCSR000EUJ
ENCFF045YYY	180	ENCFF157YWH	80	IKZF1-human	GM12878	ENCSR000EUJ
ENCFF473RMK	125	ENCFF531LXG	120	CTCF-human	DND41	ENCSR000AQU
ENCFF596DJC	125	ENCFF531LXG	120	CTCF-human	DND41	ENCSR000AQU
ENCFF953PCA	145	ENCFF943DZB	85	FOSL2-human	HepG2	ENCSR000BHP
ENCFF185DVY	110	ENCFF943DZB	85	FOSL2-human	HepG2	ENCSR000BHP
ENCFF697IMJ	170	ENCFF656HEF	110	ATF3-human	A549treatedwith002ethanolfor1hour	ENCSR000BPS
ENCFF523LJK	135	ENCFF656HEF	110	ATF3-human	A549treatedwith002ethanolfor1hour	ENCSR000BPS
ENCFF018QYS	110	ENCFF689XBW	145	CTCF-human	pancreasmaleadult54yearsandmaleadult60years	ENCSR000DND
ENCFF753GJH	85	ENCFF689XBW	145	CTCF-human	pancreasmaleadult54yearsandmaleadult60years	ENCSR000DND
ENCFF360QBV	100	ENCFF023NGN	115	MAX-human	K562	ENCSR000EFV
ENCFF635HIS	110	ENCFF023NGN	115	MAX-human	K562	ENCSR000EFV
ENCFF847EMM	115	ENCFF229FMX	70	NFIL3-human	HepG2geneticallymodifiedusingCRISPR	ENCSR201GGK
ENCFF431XUQ	115	ENCFF229FMX	70	NFIL3-human	HepG2geneticallymodifiedusingCRISPR	ENCSR201GGK
ENCFF526MVX	115	ENCFF509KAJ	115	CTCF-human	H54	ENCSR000DKN
ENCFF472PUP	115	ENCFF509KAJ	115	CTCF-human	H54	ENCSR000DKN
ENCFF405EME	90	ENCFF156FED	110	SREBF1-human	K562	ENCSR815ZDS
ENCFF623PVZ	90	ENCFF156FED	110	SREBF1-human	K562	ENCSR815ZDS
ENCFF554KEG	145	ENCFF772PJM	120	BCLAF1-human	K562	ENCSR000BKH
ENCFF339YBR	135	ENCFF772PJM	120	BCLAF1-human	K562	ENCSR000BKH
ENCFF207QTV	110	ENCFF754WTG	80	NFATC1-human	GM12878	ENCSR000BQL
ENCFF983YCI	130	ENCFF754WTG	80	NFATC1-human	GM12878	ENCSR000BQL
ENCFF641XBG	120	ENCFF948LKH	135	ATF3-human	H1	ENCSR000BKC
ENCFF712JVJ	145	ENCFF948LKH	135	ATF3-human	H1	ENCSR000BKC
ENCFF651CKC	130	ENCFF467KFW	145	CTCF-human	GM13976	ENCSR000DKZ
ENCFF271LZR	105	ENCFF467KFW	145	CTCF-human	GM13976	ENCSR000DKZ
ENCFF535PLW	120	ENCFF812TGW	105	ELF1-human	K562	ENCSR000BMD
ENCFF331TRC	125	ENCFF812TGW	105	ELF1-human	K562	ENCSR000BMD
ENCFF056OHH	125	ENCFF353UFN	100	CREB1-human	A549treatedwith002ethanolfor1hour	ENCSR000BRA
ENCFF305JRI	120	ENCFF285LVE	110	HNF4A-human	HepG2	ENCSR000BLF
ENCFF578NKF	120	ENCFF285LVE	110	HNF4A-human	HepG2	ENCSR000BLF
ENCFF387ZDQ	160	ENCFF607ZQL	200	CTCF-human	PC3	ENCSR359LOD
ENCFF572XLQ	240	ENCFF607ZQL	200	CTCF-human	PC3	ENCSR359LOD
ENCFF955QCB	195	ENCFF069XVM	130	CTCF-human	astrocyteofthecerebellum	ENCSR000DSZ
ENCFF473LHB	145	ENCFF069XVM	130	CTCF-human	astrocyteofthecerebellum	ENCSR000DSZ
ENCFF340NFD	105	ENCFF229FMX	70	SP5-human	HepG2geneticallymodifiedusingCRISPR	ENCSR019NPF
ENCFF884YQM	115	ENCFF229FMX	70	SP5-human	HepG2geneticallymodifiedusingCRISPR	ENCSR019NPF
ENCFF980FYC	100	ENCFF229FMX	70	ZBTB25-human	HepG2geneticallymodifiedusingCRISPR	ENCSR485OYR
ENCFF880OFW	105	ENCFF229FMX	70	ZBTB25-human	HepG2geneticallymodifiedusingCRISPR	ENCSR485OYR
ENCFF361YDK	120	ENCFF579QDW	130	ESRRA-human	GM12878	ENCSR000DYQ
ENCFF403OML	140	ENCFF579QDW	130	ESRRA-human	GM12878	ENCSR000DYQ
ENCFF559BCH	100	ENCFF163IHR	55	CTCF-human	mammaryepithelialcellfemale	ENCSR000DUS
ENCFF346OGN	145	ENCFF163IHR	55	CTCF-human	mammaryepithelialcellfemale	ENCSR000DUS
ENCFF926BIU	120	ENCFF579QDW	130	E2F4-human	GM12878	ENCSR000DYY
ENCFF189DMF	120	ENCFF579QDW	130	E2F4-human	GM12878	ENCSR000DYY
ENCFF495MEU	120	ENCFF023NGN	115	ARID3A-human	K562	ENCSR000EFY
ENCFF477DKP	120	ENCFF023NGN	115	ARID3A-human	K562	ENCSR000EFY
ENCFF853NYR	90	ENCFF918AJW	110	JUN-human	A549	ENCSR996DUT
ENCFF755QDV	140	ENCFF918AJW	110	JUN-human	A549	ENCSR996DUT
ENCFF525MRS	125	ENCFF337ZUN	85	CTCF-human	HL60	ENCSR000DUP
ENCFF364NWO	165	ENCFF714AMB	195	REST-human	A549	ENCSR892DRK
ENCFF808ADX	215	ENCFF714AMB	195	REST-human	A549	ENCSR892DRK
ENCFF728VLB	120	ENCFF165KZY	115	MAFF-human	HepG2	ENCSR000EEC
ENCFF991ICQ	120	ENCFF165KZY	115	MAFF-human	HepG2	ENCSR000EEC
ENCFF144SKI	110	ENCFF928IDQ	85	USF2-human	IMR90	ENCSR513UQG
ENCFF128DIV	135	ENCFF928IDQ	85	USF2-human	IMR90	ENCSR513UQG
ENCFF355WAL	100	ENCFF202PGY	95	REST-human	HeLaS3	ENCSR000BMN
ENCFF754IAO	130	ENCFF202PGY	95	REST-human	HeLaS3	ENCSR000BMN
ENCFF719OIE	120	ENCFF023NGN	115	MAFK-human	K562	ENCSR000EGX
ENCFF852HSQ	130	ENCFF023NGN	115	MAFK-human	K562	ENCSR000EGX
ENCFF647KJA	115	ENCFF886XYV	115	CTCF-human	fibroblastofpulmonaryartery	ENCSR000DUX
ENCFF288FQY	125	ENCFF886XYV	115	CTCF-human	fibroblastofpulmonaryartery	ENCSR000DUX
ENCFF383ODW	100	ENCFF747NOF	65	ETV6-human	GM12878	ENCSR626VUC
ENCFF472MGT	140	ENCFF747NOF	65	ETV6-human	GM12878	ENCSR626VUC
ENCFF114WOS	130	ENCFF511RLN	130	ZNF384-human	HepG2	ENCSR101FJU
ENCFF063NKS	125	ENCFF511RLN	130	ZNF384-human	HepG2	ENCSR101FJU
ENCFF898FWJ	100	ENCFF928IDQ	85	ELK1-human	IMR90	ENCSR664OKA
ENCFF870JSA	130	ENCFF928IDQ	85	ELK1-human	IMR90	ENCSR664OKA
ENCFF777LFU	140	ENCFF370PSF	100	MAX-human	liverfemalechild4years	ENCSR847DIT
ENCFF661JYQ	155	ENCFF370PSF	100	MAX-human	liverfemalechild4years	ENCSR847DIT
ENCFF465ZZG	175	ENCFF604MCA	70	ZNF589-human	K562geneticallymodifiedusingCRISPR	ENCSR603XLW
ENCFF284MLL	205	ENCFF604MCA	70	ZNF589-human	K562geneticallymodifiedusingCRISPR	ENCSR603XLW
ENCFF207NLX	125	ENCFF709XAA	65	NRF1-human	K562	ENCSR837EYC
ENCFF564KCD	135	ENCFF709XAA	65	NRF1-human	K562	ENCSR837EYC
ENCFF531SFF	125	ENCFF229FMX	70	ZNF580-human	HepG2geneticallymodifiedusingCRISPR	ENCSR173CTF
ENCFF753MGD	95	ENCFF229FMX	70	ZNF580-human	HepG2geneticallymodifiedusingCRISPR	ENCSR173CTF
ENCFF858WNV	350	ENCFF144WYV	300	TRIM28-human	HEK293	ENCSR000EUZ
ENCFF592HXS	285	ENCFF144WYV	300	TRIM28-human	HEK293	ENCSR000EUZ
ENCFF414QJE	190	ENCFF691EEI	180	CTCF-human	OCILY3	ENCSR756ZKG
ENCFF770VVI	150	ENCFF691EEI	180	CTCF-human	OCILY3	ENCSR756ZKG
ENCFF116ICU	120	ENCFF312FHK	105	CTCF-human	NB4	ENCSR000DWN
ENCFF083FZS	75	ENCFF332SVJ	80	ZNF146-human	K562geneticallymodifiedusingCRISPR	ENCSR713IFY
ENCFF151GOI	125	ENCFF023NGN	115	BACH1-human	K562	ENCSR000EGD
ENCFF540DXB	125	ENCFF023NGN	115	BACH1-human	K562	ENCSR000EGD
ENCFF200PYZ	125	ENCFF023NGN	115	EP300-human	K562	ENCSR000EGE
ENCFF982AFE	125	ENCFF023NGN	115	EP300-human	K562	ENCSR000EGE
ENCFF014UUB	110	ENCFF023NGN	115	JUN-human	K562	ENCSR000EFS
ENCFF924CYX	110	ENCFF023NGN	115	JUN-human	K562	ENCSR000EFS
ENCFF127FFH	85	ENCFF229FMX	70	ZNF3-human	HepG2geneticallymodifiedusingCRISPR	ENCSR182QWU
ENCFF581GQK	90	ENCFF229FMX	70	ZNF3-human	HepG2geneticallymodifiedusingCRISPR	ENCSR182QWU
ENCFF269TPC	125	ENCFF948LKH	135	TCF12-human	H1	ENCSR000BIT
ENCFF421BPV	100	ENCFF948LKH	135	TCF12-human	H1	ENCSR000BIT
ENCFF073FBT	160	ENCFF370PSF	100	SP1-human	liverfemalechild4years	ENCSR386YIH
ENCFF217HIN	170	ENCFF370PSF	100	SP1-human	liverfemalechild4years	ENCSR386YIH
